,original_annotator_labels,genre,original_label,pairID,promptID,sentence1,translation1,sentence2,translation2,hebrew_label
0,['entailment'],fiction,entailment,112428e,112428,Just go on with what you're doing now.,פשוט תמשיך במה שאתה עושה עכשיו.,"Carry on with the task you have at hand,",המשך במטלה הנוכחית שיש לך,entailment
1,['entailment'],fiction,entailment,2635e,2635,The man's right arm had been broken and completely twisted around.,הזרוע הימנית של האיש נשברה והתפתלה לחלוטין.,The man was injured.,האיש נפצע.,entailment
2,['entailment'],fiction,entailment,97156e,97156,"I refused.""","סירבתי.""",I said no.,אמרתי לא.,entailment
3,['neutral'],fiction,neutral,75170n,75170,Don't you think it could be?,אתה לא חושב שזה יכול להיות?,Don't you think it could be the man whom we've been searching?,אתה לא חושב שזה יכול להיות האיש שאנחנו מחפשים?,neutral
4,['entailment'],fiction,entailment,36967e,36967,"When only the pasty noble remained, Vrenna stepped back and raised her hand, offering the man to the dark-skinned blade wielder.","כשנותר רק האציל החיוור, ורנה נסוגה לאחור והרימה את ידה, והציעה את האיש לנושא הלהב כהה העור.",She took a step back as she offered the man to the other man.,היא נסוגה לאחור כשהציעה את הגבר לגבר השני.,entailment
5,['neutral'],fiction,neutral,13297n,13297,"She'll do for him very nicely, said Tommy condescendingly.","היא תתאים לו יפה מאוד, אמר טומי בהתנשאות.","She is the perfect fit for him, said Tommy coldly.","היא מתאימה לו באופן מושלם, אמר טומי בקרירות",entailment
6,['contradiction'],fiction,contradiction,82616c,82616,The bones of escaped brill still littered the trails between Fena Set and Fena Dim as a grim reminder of the lethality of the torrent.,עצמות של בריל שנמלטו עדיין היו פזורות בשבילים בין פנה סט לפנה דים כתזכורת קודרת לכוחו הקטלני של הזרם.,There were no traces left of the lethal events that had happened earlier.,לא נותרו שום עקבות לאירועים הקטלניים שקרו קודם לכן.,contradiction
7,['entailment'],fiction,entailment,24044e,24044,The place scared everyone who saw it.,המקום הפחיד כל מי שראה אותו.,Everyone who saw the place was scared by it.,כל מי שראה את המקום נבהל ממנו.,entailment
8,['neutral'],fiction,neutral,130933n,130933,I reckon that we shan't really need to fire a torpedo.,אני משער שלא באמת נצטרך לירות טורפדו.,I guess the war is over now.,אני מניח שהמלחמה נגמרה עכשיו.,neutral
9,['neutral'],fiction,entailment,43176n,43176,"Right,' I mumbled.","נכון', מלמלתי.","Correct',  I said.","נכון', אמרתי.",entailment
10,['contradiction'],fiction,contradiction,9314c,9314,"Pace and stamina.""","קצב וסיבולת.""",Don't worry about time.,אל תדאג לגבי הזמן.,neutral
11,['entailment'],fiction,entailment,119939e,119939,But Drew dared ask no questions.,אבל דרו לא העז לשאול שאלות.,Drew did not ask any questions.,דרו לא שאל שום שאלות.,entailment
12,['entailment'],fiction,entailment,107923e,107923,"He meant that he didn't know about it, Dave gathered.","הוא התכוון שהוא לא ידע על כך, דייב הבין.",Dave assumed he meant he had not known about it.,דייב הניח שהוא התכוון שהוא לא ידע על כך.,entailment
13,['contradiction'],fiction,contradiction,2878c,2878,"A little reluctantly, Greuze gave me permission to go and poke around.","בחוסר רצון מסוים, גרוז הרשה לי ללכת לרחרח",Greuze told me I couldn't look around.,גרוז אמר לי שאני לא יכול לבדוק,contradiction
14,['contradiction'],fiction,contradiction,67233c,67233,"Had it not been for two things, I might have dreamed the whole thing.","אלמלא שני דברים, ייתכן שחלמתי את כל העניין",I didn't know if it was real or fiction.,לא ידעתי אם זה אמיתי או בדיוני.,contradiction
15,['entailment'],fiction,entailment,44979e,44979,The sun will see to that.,השמש תדאג לזה.,The sun will make something happen.,השמש תגרום למשהו לקרות.,entailment
16,['contradiction'],fiction,contradiction,121473c,121473,"Franklin did nothing for a while, apparently ignorant of my presence.","פרנקלין לא עשה כלום זמן מה, כנראה בלי להיות מודע לנוכחותי.",Franklin knew what I was doing.,פרנקלין ידע מה אני עושה.,contradiction
17,['neutral'],fiction,neutral,124699n,124699,"If they come, they will be cut to pieces,"" said Oden.","אם הם יבואו, הם ייחתכו לחתיכות,"" אמר אודן.",Oden was confident that we would defeat them if they came near us.,אודן היה בטוח שנביס אותם אם הם יתקרבו אלינו.,entailment
18,['contradiction'],fiction,contradiction,24416c,24416,"That all the welcoming would be on the other side, breaking right through the barrier he had been building for years?","שכל קבלות הפנים יהיו בצד השני, מה שינפץ את כל המחסומים שהוא בנה לאורך השנים?",None of the overtures would do anything to the barrier he had built.,אף אחת מהפתיחות לא תעשה כלום למחסום שהוא בנה.,contradiction
19,['entailment'],fiction,entailment,81219e,81219,"She keeps the fatal letter.""","היא שומרת את המכתב הקטלני.""",The fatal letter was not disposed of.,המכתב הקטלני לא הושלך.,entailment
20,['entailment'],fiction,entailment,94909e,94909,"Good-bye, and good luck.","להתראות, ובהצלחה.",I wish you the best of luck when you leave.,אני מאחל לך את כל ההצלחה שבעולם כשאתה עוזב.,entailment
21,['entailment'],fiction,entailment,108656e,108656,"They stepped from ornate carriages on soft feet and gazed at the golden idols, silk robes, and the finest slaves in the land.","הם ירדו מכרכרות מעוטרות ברגליים רכות והביטו בפסלים המוזהבים, בגלימות המשי ובעבדים המשובחים ביותר שבארץ.",As they exited the carriage they saw an array of beings including slaves.,כשהם יצאו מהכרכרה הם ראו שורה של יצורים כולל עבדים.,neutral
22,['entailment'],fiction,entailment,29784e,29784,Perhaps he should clear out even farther and head for California.,אולי הוא צריך להתרחק עוד יותר ולנסוע לקליפורניה.,Maybe he should head for California to clear out even farther?,",אולי הוא צריך לנסוע לקליפורניה כדי להתרחק עוד יותר?",entailment
23,['neutral'],fiction,neutral,104621n,104621,"Whatever the material in the cloth, it had stood the sun's heat almost as well as he had.","מה שלא היה החומר שבבגד, הוא עמד בחום השמש כמעט כמוהו.",The material in the cloth had a magic spell cast on it.,על החומר בבד הוטל כישוף.,neutral
24,['entailment'],fiction,entailment,51864e,51864,What do you see in a town like that? asked Jon.,מה אתה רואה בעיירה כזאת? שאל ג'ון.,What are some of the aspects that attract you to that town?  asked Jon.,מהם חלק מההיבטים שמושכים אותך אל העיר הזו? שאל ג'ון.,neutral
25,['neutral'],fiction,neutral,138442n,138442,"And who knows if these men will even come, said Jon.","ומי יודע אם הגברים האלה בכלל יבואו, אמר ג'ון.","Who knows if these warriors will arrive, said John.","מי יודע אם הלוחמים האלה יגיעו, אמר ג'ון.",neutral
26,['entailment'],fiction,entailment,96911e,96911,But it's all O.K.,אבל הכל בסדר.,But it's all good.,אבל הכל טוב.,entailment
27,['neutral'],fiction,neutral,71854n,71854,They would use her as a conduit to speak across the land.,הם השתמשו בה ככלי כדי לדבר ברחבי הארץ.,She'd be used as a conduit to speak across the land about the war.,היא תשמש ככלי כדי לדבר ברחבי הארץ על המלחמה.,neutral
28,['contradiction'],fiction,contradiction,74589c,74589,"No, this is just a story.","לא, זה רק סיפור.","Yes, this is real life!","כן, זה החיים האמיתיים!",contradiction
29,['entailment'],fiction,entailment,117380e,117380,"You don't know him!""","אתה לא מכיר אותו!""",You aren't acquainted with him.,אין לך היכרות איתו,entailment
30,['entailment'],fiction,entailment,944e,944,I think they were waiting for me to invent something.,אני חושב שהם חיכו שאמציא משהו.,They waited for me to invent something to help.,הם חיכו שאמציא משהו שיעזור.,neutral
31,['entailment'],fiction,entailment,1811e,1811,"You ought to be used to it by now waitin', I mean.","אתה אמור להיות כבר מורגל לזה עד עכשיו, לחכות אני מתכוון","You should be used to waiting by now, I mean.","אתה צריך להיות רגיל לחכות עד עכשיו, אני מתכוון.",entailment
32,['entailment'],fiction,entailment,31321e,31321,He threw the letter into the waste-paper basket.,הוא זרק את המכתב לסל הניירות.,He threw the letter away.,הוא השליך את המכתב.,entailment
33,['neutral'],fiction,neutral,52793n,52793,"No, that's more or less all I'm going to offer you in return.'","לא, זה פחות או יותר כל מה שאני הולך להציע לך בתמורה.'",That's all you're gonna get in exchange for the $5 bill.,זה כל מה שאתה הולך לקבל בתמורה לשטר של 5 דולר.,neutral
34,['contradiction'],fiction,contradiction,15261c,15261,"He sat at night and gazed at the stars, considering whether his journey was heroic or folly.","הוא ישב בלילה והביט בכוכבים, שוקל האם מסעו היה גבורה או שטות.",He was never in doubt about his journey being a heroic one.,הוא מעולם לא הטיל ספק בכך שמסעו הוא גבורה.,contradiction
35,['entailment'],fiction,entailment,117852e,117852,"When he entered his mother's room, and saw her obviously poisoned, he jumped to the conclusion that Mademoiselle Cynthia knew something about the matter.","כשהוא נכנס לחדר של אמו, וראה אותה מורעלת בבירור, הוא קפץ למסקנה שמדמואזל סינתיה יודעת משהו על העניין. ",His mother was clearly poisoned.,אמו הורעלה בבירור.,entailment
36,['contradiction'],fiction,contradiction,41411c,41411,He didn't even bother taking cover.,הוא אפילו לא טרח לתפוס מחסה.,He decided it would be best to take cover.,הוא החליט שיהיה הכי טוב לתפוס מחסה.,contradiction
37,['entailment'],fiction,entailment,137534e,137534,There must be a peep-hole somewhere in the walls.,חייב להיות חור הצצה איפשהו בקירות.,One of the walls must have a small crevice.,באחד הקירות חייב להיות סדק קטן,entailment
38,['entailment'],fiction,entailment,79335e,79335,"Let's drink to success."" She poured some cold dregs of tea into the two cups.","בואו נשתה לחיי ההצלחה."" היא מזגה קצת גרגרי תה קרים לשני הספלים. ",She poured tea grounds into two cups.,היא מזגה גרגרי תה לשני ספלים.,entailment
39,['contradiction'],fiction,contradiction,11188c,11188,I don't know.,אני לא יודע.,I'm aware.,אני מודע לכך.,contradiction
40,['neutral'],fiction,neutral,96944n,96944,"Adrin continued his monologue, describing the grizzly murders that took place in the deep of night in the brothel district.","אדרין המשיך במונולוג שלו, ותיאר את הרציחות המחרידות שהתרחשו בעיצומו של הלילה ברובע בתי הבושת.",The murderers had not been caught.,הרוצחים לא נתפסו.,neutral
41,['contradiction'],fiction,contradiction,61017c,61017,"If he did not, should he risk trying to make an ally of her?","אם לא, האם עליו להסתכן בניסיון להפוך אותה לבת בריתו? ",There was no danger in attempting to make her a friend.,לא הייתה סכנה בניסיון להפוך אותה לחברה.,contradiction
