,sentence1,sentence2,genre,English_label,translation1,translation2,annotator 1 labels,annotator 2 labels
0,Just go on with what you're doing now.,"Carry on with the task you have at hand,",fiction,entailment,פשוט תמשיך במה שאתה עושה עכשיו.,המשך במטלה הנוכחית שיש לך,Entailment,Entailment
1,The man's right arm had been broken and completely twisted around.,The man was injured.,fiction,entailment,הזרוע הימנית של האיש נשברה והתפתלה לחלוטין.,האיש נפצע.,Entailment,Entailment
2,"I refused.""",I said no.,fiction,entailment,"סירבתי.""",אמרתי לא.,Entailment,Entailment
3,And send off a cable or two.,And provide him with two metal cables.,fiction,neutral,ולשלוח כבל או שניים.,וספקו לו שני כבלי מתכת.,Entailment,Neutral
4,Don't you think it could be?,Don't you think it could be the man whom we've been searching?,fiction,neutral,אתה לא חושב שזה יכול להיות?,אתה לא חושב שזה יכול להיות האיש שאנחנו מחפשים?,Neutral,Neutral
5,"When only the pasty noble remained, Vrenna stepped back and raised her hand, offering the man to the dark-skinned blade wielder.",She took a step back as she offered the man to the other man.,fiction,entailment,"כשנותר רק האציל החיוור, ורנה נסוגה לאחור והרימה את ידה, והציעה את האיש לנושא הלהב כהה העור.",היא נסוגה לאחור כשהציעה את הגבר לגבר השני.,Entailment,Entailment
6,"She'll do for him very nicely, said Tommy condescendingly.","She is the perfect fit for him, said Tommy coldly.",fiction,neutral,"היא תתאים לו יפה מאוד, אמר טומי בהתנשאות.","היא מתאימה לו באופן מושלם, אמר טומי בקרירות",Entailment,Entailment
7,The bones of escaped brill still littered the trails between Fena Set and Fena Dim as a grim reminder of the lethality of the torrent.,There were no traces left of the lethal events that had happened earlier.,fiction,contradiction,עצמות של בריל שנמלטו עדיין היו פזורות בשבילים בין פנה סט לפנה דים כתזכורת קודרת לכוחו הקטלני של הזרם.,לא נותרו שום עקבות לאירועים הקטלניים שקרו קודם לכן.,Contradiction,Contradiction
8,"We both bolted from the cabin, to the end of the carriage.",We ran from the cabin to the lake.,fiction,contradiction,שנינו ברחנו מהבקתה לקצה הקרון.,רצנו מהבקתה לאגם.,Contradiction,Neutral
9,The place scared everyone who saw it.,Everyone who saw the place was scared by it.,fiction,entailment,המקום הפחיד כל מי שראה אותו.,כל מי שראה את המקום נבהל ממנו.,Entailment,Entailment
10,I reckon that we shan't really need to fire a torpedo.,I guess the war is over now.,fiction,neutral,אני משער שלא באמת נצטרך לירות טורפדו.,אני מניח שהמלחמה נגמרה עכשיו.,Neutral,Neutral
11,"Right,' I mumbled.","'Correct',  I said.",fiction,entailment,"נכון', מלמלתי.","נכון', אמרתי.",Entailment,Entailment
12,They all heard it.,They all heard the sounds.,fiction,entailment,כולם שמעו את זה.,כולם שמעו את הקולות.,Entailment,Neutral
